类型,货币,金额,汇率（相对本位币）,项目,分类,父类,账户,付款,收款,日期,标签,备注,clean_amount,amount_abs,flow_direction,clean_date,date_valid,clean_project,is_transfer,transfer_subtype,is_refund,is_loan,cny_amount,valid_for_stats,corrected_type,category_l1,category_l2,is_fixed_expense,is_travel,year,month,quarter,day_of_week,is_weekend,is_holiday,holiday_name,is_around_holiday,is_capital_expense,is_outlier,life_stage,month_complete,is_purchase_support
支出,CNY,¥-10,1,,停车费🅿️,su7,微信余额,,,2026/7/10 18:16,,,-10.0,10.0,支出,2026-07-10 18:16:00,True,,False,,False,False,10.0,True,支出,车辆,停车费,False,False,2026,7,3,4,False,False,,False,False,False,post_car,False,False
支出,CNY,¥-37.19,1,,早午晚餐,日常消费,招商银行,,,2026/7/10 17:46,,,-37.19,37.19,支出,2026-07-10 17:46:00,True,,False,,False,False,37.19,True,支出,餐饮,正餐,False,False,2026,7,3,4,False,False,,False,False,False,post_car,False,False
支出,CNY,"¥-11,741.63",1,,车贷,su7,分期,,,2026/7/10 13:45,,,-11741.63,11741.63,支出,2026-07-10 13:45:00,True,,False,,False,False,11741.63,True,支出,车辆,车贷,True,False,2026,7,3,4,False,False,,False,False,False,post_car,False,False
支出,CNY,¥-293.56,1,,还款利息,,招商银行,,,2026/7/10 13:45,,账单分期 - 第12期,-293.56,293.56,支出,2026-07-10 13:45:00,True,,False,,False,True,293.56,False,支出,理财,利息收入-借贷,False,False,2026,7,3,4,False,False,,False,False,False,post_car,False,False
转账,CNY,"¥12,035.19",1,,信用卡还款,,,招行工资卡,招商银行,2026/7/10 13:45,,招商银行还款,12035.19,12035.19,转账,2026-07-10 13:45:00,True,,True,信用卡还款,False,True,12035.19,False,转账,转账,信用卡还款,False,False,2026,7,3,4,False,False,,False,False,False,post_car,False,False
转账,CNY,"¥11,741.63",1,,还款本金,,,招商银行,分期,2026/7/10 13:44,,账单分期 - 第12期,11741.63,11741.63,转账,2026-07-10 13:44:00,True,,True,信用卡还款,False,True,11741.63,False,转账,借贷,收回本金,False,False,2026,7,3,4,False,False,,False,False,False,post_car,False,False
支出,CNY,¥-21.90,1,,早午晚餐,日常消费,招商银行,,,2026/7/9 18:45,,,-21.9,21.9,支出,2026-07-09 18:45:00,True,,False,,False,False,21.9,True,支出,餐饮,正餐,False,False,2026,7,3,3,False,False,,False,False,False,post_car,False,False
支出,CNY,¥-4.75,1,,过桥过路费,su7,微信余额,,,2026/7/9 18:16,,,-4.75,4.75,支出,2026-07-09 18:16:00,True,,False,,False,False,4.75,True,支出,车辆,过路费,False,False,2026,7,3,3,False,False,,False,False,False,post_car,False,False
支出,CNY,¥-10,1,,停车费🅿️,su7,微信余额,,,2026/7/9 18:16,,,-10.0,10.0,支出,2026-07-09 18:16:00,True,,False,,False,False,10.0,True,支出,车辆,停车费,False,False,2026,7,3,3,False,False,,False,False,False,post_car,False,False
收入,CNY,¥1.39,1,,利息收入,其他收入,招行工资卡,,,2026/7/9 18:03,,,1.39,1.39,收入,2026-07-09 18:03:00,True,,False,,False,False,1.39,True,收入,理财,利息,False,False,2026,7,3,3,False,False,,False,False,False,post_car,False,False
支出,CNY,¥-1.50,1,,公交/地铁/共享单车,交通,微信余额,,,2026/7/8 18:16,,,-1.5,1.5,支出,2026-07-08 18:16:00,True,,False,,False,False,1.5,True,支出,交通,公共交通,False,False,2026,7,3,2,False,False,,False,False,False,post_car,False,False
支出,CNY,¥-1.50,1,,公交/地铁/共享单车,交通,微信余额,,,2026/7/8 18:16,,,-1.5,1.5,支出,2026-07-08 18:16:00,True,,False,,False,False,1.5,True,支出,交通,公共交通,False,False,2026,7,3,2,False,False,,False,False,False,post_car,False,False
收入,CNY,¥1.35,1,,利息收入,其他收入,招行工资卡,,,2026/7/8 18:16,,,1.35,1.35,收入,2026-07-08 18:16:00,True,,False,,False,False,1.35,True,收入,理财,利息,False,False,2026,7,3,2,False,False,,False,False,False,post_car,False,False
支出,CNY,¥-10,1,,停车费🅿️,su7,微信余额,,,2026/7/8 18:16,,,-10.0,10.0,支出,2026-07-08 18:16:00,True,,False,,False,False,10.0,True,支出,车辆,停车费,False,False,2026,7,3,2,False,False,,False,False,False,post_car,False,False
支出,CNY,¥-34.90,1,,早午晚餐,日常消费,微信余额,,,2026/7/8 18:15,,,-34.9,34.9,支出,2026-07-08 18:15:00,True,,False,,False,False,34.9,True,支出,餐饮,正餐,False,False,2026,7,3,2,False,False,,False,False,False,post_car,False,False
收入,CNY,¥1.44,1,,利息收入,其他收入,招行工资卡,,,2026/7/7 19:12,,,1.44,1.44,收入,2026-07-07 19:12:00,True,,False,,False,False,1.44,True,收入,理财,利息,False,False,2026,7,3,1,False,False,,False,False,False,post_car,False,False
支出,CNY,¥-5.90,1,,吃喝,日常消费,招商银行,,,2026/7/7 19:12,,,-5.9,5.9,支出,2026-07-07 19:12:00,True,,False,,False,False,5.9,True,支出,餐饮,小吃饮品,False,False,2026,7,3,1,False,False,,False,False,False,post_car,False,False
支出,CNY,¥-36.90,1,,早午晚餐,日常消费,招商银行,,,2026/7/7 18:21,,,-36.9,36.9,支出,2026-07-07 18:21:00,True,,False,,False,False,36.9,True,支出,餐饮,正餐,False,False,2026,7,3,1,False,False,,False,False,False,post_car,False,False
