ds,y,life_stage,car_loan
2023-01-01,17092.069999999996,0.0,0.0
2023-02-01,10518.48,0.0,0.0
2023-03-01,3805.620000000001,0.0,0.0
2023-04-01,8232.449999999999,0.0,0.0
2023-05-01,20075.199999999997,0.0,0.0
2023-06-01,6274.23,0.0,0.0
2023-07-01,3398.4500000000003,0.0,0.0
2023-08-01,11537.389999999992,0.0,0.0
2023-09-01,4753.240000000001,0.0,0.0
2023-10-01,11124.879999999996,0.0,0.0
2023-11-01,13359.519999999993,0.0,0.0
2023-12-01,9480.099999999995,0.0,0.0
2024-01-01,9815.999999999996,0.0,0.0
2024-02-01,17663.87,0.0,0.0
2024-03-01,4007.7300000000023,0.0,0.0
2024-04-01,10088.209999999994,0.0,0.0
2024-05-01,8318.12,0.0,0.0
2024-06-01,6106.569999999999,0.0,0.0
2024-07-01,6639.009999999997,0.0,0.0
2024-08-01,9106.299999999997,0.0,0.0
2024-09-01,7666.54,0.0,0.0
2024-10-01,9287.739999999998,0.0,0.0
2024-11-01,6459.820000000001,0.0,0.0
2024-12-01,9120.589999999997,0.0,0.0
2025-01-01,18881.84,0.0,0.0
2025-02-01,6871.549999999997,0.0,0.0
2025-03-01,6694.479999999999,0.0,0.0
2025-04-01,20259.170000000002,0.0,0.0
2025-05-01,9176.810000000001,0.0,0.0
2025-06-01,11052.479999999996,0.0,0.0
2025-07-01,16223.629999999996,0.0,0.0
2025-08-01,11499.859999999997,1.0,11741.67
2025-09-01,14868.729999999996,1.0,11741.67
2025-10-01,24588.620000000003,1.0,11741.67
2025-11-01,4484.550000000002,1.0,11741.67
2025-12-01,3719.710000000001,1.0,11741.67
2026-01-01,3129.3100000000004,1.0,11741.67
2026-02-01,3680.7100000000005,1.0,11741.67
2026-03-01,10282.739999999996,1.0,11741.67
2026-04-01,13323.319999999994,1.0,11741.67
2026-05-01,8014.070000000003,1.0,11741.67
2026-06-01,18825.140000000014,1.0,11741.67
