月份,预测值,下限(80%),上限(80%)
2026-07,18904.392049118156,13534.287728320025,24064.663915644822
2026-08,10750.113880990106,5486.2255764533,15603.670695990673
2026-09,7394.6401790685295,1877.2574660142466,12423.842706734495
2026-10,21851.973565075466,16543.797932427304,26959.19699806261
2026-11,8781.806660510363,3565.476661166372,13816.50330916573
2026-12,6653.267567480154,1223.733957279024,11865.249321553987
2027-01,10778.534185457376,4978.869313299539,15728.269476315068
2027-02,10617.150827723106,5022.969963132213,16014.187659794372
2027-03,4821.313992670506,-684.5777801714278,9647.997625021686
2027-04,9976.025672732083,5015.23864410156,15117.187983435337
2027-05,15793.000803470204,10382.712817389904,21088.05037433285
2027-06,11230.725073741803,5762.0623229718485,16611.919686975474
